RBP,module
ENSG00000180574,ME25
ENSG00000107581,ME25
ENSG00000184110,ME25
ENSG00000175390,ME25
ENSG00000104131,ME25
ENSG00000126749,ME25
ENSG00000234545,ME25
ENSG00000105058,ME25
ENSG00000112773,ME25
ENSG00000145982,ME25
ENSG00000160752,ME25
ENSG00000109536,ME25
ENSG00000140718,ME25
ENSG00000173230,ME25
ENSG00000177885,ME25
ENSG00000125651,ME25
ENSG00000100226,ME25
ENSG00000112855,ME25
ENSG00000143321,ME25
ENSG00000231834,ME25
ENSG00000229215,ME25
ENSG00000206503,ME25
ENSG00000223980,ME25
ENSG00000227715,ME25
ENSG00000235657,ME25
ENSG00000224320,ME25
ENSG00000206505,ME25
ENSG00000102241,ME25
ENSG00000132305,ME25
ENSG00000106348,ME25
ENSG00000172086,ME25
ENSG00000139233,ME25
ENSG00000124831,ME25
ENSG00000155858,ME25
ENSG00000047849,ME25
ENSG00000169057,ME25
ENSG00000146834,ME25
ENSG00000145388,ME25
ENSG00000165819,ME25
ENSG00000176624,ME25
ENSG00000148773,ME25
ENSG00000133606,ME25
ENSG00000155363,ME25
ENSG00000129282,ME25
ENSG00000106591,ME25
ENSG00000147065,ME25
ENSG00000103248,ME25
ENSG00000188613,ME25
ENSG00000163386,ME25
ENSG00000114503,ME25
ENSG00000160194,ME25
ENSG00000086102,ME25
ENSG00000126653,ME25
ENSG00000106133,ME25
ENSG00000083635,ME25
ENSG00000108256,ME25
ENSG00000185624,ME25
ENSG00000166889,ME25
ENSG00000169564,ME25
ENSG00000089220,ME25
ENSG00000100941,ME25
ENSG00000100227,ME25
ENSG00000134186,ME25
ENSG00000106246,ME25
ENSG00000196396,ME25
ENSG00000185129,ME25
ENSG00000146676,ME25
ENSG00000179912,ME25
ENSG00000131759,ME25
ENSG00000161847,ME25
ENSG00000179837,ME25
ENSG00000184898,ME25
ENSG00000173914,ME25
ENSG00000134597,ME25
ENSG00000135828,ME25
ENSG00000156313,ME25
ENSG00000144713,ME25
ENSG00000136942,ME25
ENSG00000163902,ME25
ENSG00000105193,ME25
ENSG00000132275,ME25
ENSG00000111011,ME25
ENSG00000156304,ME25
ENSG00000169976,ME25
ENSG00000157106,ME25
ENSG00000224543,ME25
ENSG00000159140,ME25
ENSG00000151304,ME25
ENSG00000161547,ME25
ENSG00000116350,ME25
ENSG00000105705,ME25
ENSG00000064607,ME25
ENSG00000135316,ME25
ENSG00000100207,ME25
ENSG00000129566,ME25
ENSG00000054118,ME25
ENSG00000101150,ME25
ENSG00000132109,ME25
ENSG00000121060,ME25
ENSG00000169871,ME25
ENSG00000087077,ME25
ENSG00000188229,ME25
ENSG00000150991,ME25
ENSG00000005007,ME25
ENSG00000132467,ME25
ENSG00000141499,ME25
ENSG00000146457,ME25
ENSG00000134684,ME25
ENSG00000170027,ME25
ENSG00000163874,ME25
ENSG00000123200,ME25
ENSG00000105939,ME25
ENSG00000083223,ME25
ENSG00000131732,ME25
ENSG00000103994,ME25
ENSG00000169249,ME25
ENSG00000179218,ME26
ENSG00000140718,ME26
ENSG00000089597,ME26
ENSG00000166598,ME26
ENSG00000145050,ME26
ENSG00000145388,ME26
ENSG00000165819,ME26
ENSG00000167004,ME26
ENSG00000155660,ME26
ENSG00000173366,ME26
ENSG00000239732,ME26
ENSG00000146457,ME26
ENSG00000135046,ME27
ENSG00000175390,ME27
ENSG00000140718,ME27
ENSG00000057608,ME27
ENSG00000141738,ME27
ENSG00000145388,ME27
ENSG00000165819,ME27
ENSG00000163694,ME27
ENSG00000177350,ME27
ENSG00000106638,ME27
ENSG00000103194,ME27
ENSG00000026025,ME27
ENSG00000146457,ME27
ENSG00000135046,ME28
ENSG00000153048,ME28
ENSG00000161082,ME28
ENSG00000109832,ME28
ENSG00000114784,ME28
ENSG00000175390,ME28
ENSG00000104413,ME28
ENSG00000103067,ME28
ENSG00000188573,ME28
ENSG00000102531,ME28
ENSG00000140718,ME28
ENSG00000141738,ME28
ENSG00000089094,ME28
ENSG00000103550,ME28
ENSG00000240563,ME28
ENSG00000100097,ME28
ENSG00000131914,ME28
ENSG00000152601,ME28
ENSG00000139793,ME28
ENSG00000145388,ME28
ENSG00000165819,ME28
ENSG00000147649,ME28
ENSG00000173559,ME28
ENSG00000163386,ME28
ENSG00000179299,ME28
ENSG00000147596,ME28
ENSG00000167281,ME28
ENSG00000166831,ME28
ENSG00000104112,ME28
ENSG00000176887,ME28
ENSG00000206557,ME28
ENSG00000026025,ME28
ENSG00000146457,ME28
ENSG00000079246,ME28
ENSG00000165061,ME28
ENSG00000122359,ME29
ENSG00000048740,ME29
ENSG00000140829,ME29
ENSG00000114867,ME29
ENSG00000132507,ME29
ENSG00000158417,ME29
ENSG00000092820,ME29
ENSG00000048828,ME29
ENSG00000196924,ME29
ENSG00000140718,ME29
ENSG00000125166,ME29
ENSG00000115677,ME29
ENSG00000086758,ME29
ENSG00000129250,ME29
ENSG00000166173,ME29
ENSG00000047849,ME29
ENSG00000145388,ME29
ENSG00000165819,ME29
ENSG00000140259,ME29
ENSG00000136243,ME29
ENSG00000147206,ME29
ENSG00000134453,ME29
ENSG00000155827,ME29
ENSG00000142534,ME29
ENSG00000099995,ME29
ENSG00000125870,ME29
ENSG00000115306,ME29
ENSG00000070814,ME29
ENSG00000135269,ME29
ENSG00000184937,ME29
ENSG00000146457,ME29
ENSG00000100813,ME3
ENSG00000011243,ME3
ENSG00000145741,ME3
ENSG00000060339,ME3
ENSG00000173575,ME3
ENSG00000149532,ME3
ENSG00000163510,ME3
ENSG00000115866,ME3
ENSG00000162290,ME3
ENSG00000172795,ME3
ENSG00000100201,ME3
ENSG00000109606,ME3
ENSG00000173812,ME3
ENSG00000106682,ME3
ENSG00000126749,ME3
ENSG00000234545,ME3
ENSG00000105058,ME3
ENSG00000112773,ME3
ENSG00000109536,ME3
ENSG00000140718,ME3
ENSG00000076650,ME3
ENSG00000177885,ME3
ENSG00000138029,ME3
ENSG00000189403,ME3
ENSG00000164104,ME3
ENSG00000132305,ME3
ENSG00000108848,ME3
ENSG00000145388,ME3
ENSG00000165819,ME3
ENSG00000133606,ME3
ENSG00000155363,ME3
ENSG00000205531,ME3
ENSG00000114503,ME3
ENSG00000101361,ME3
ENSG00000108256,ME3
ENSG00000089220,ME3
ENSG00000132424,ME3
ENSG00000100227,ME3
ENSG00000179912,ME3
ENSG00000147274,ME3
ENSG00000052749,ME3
ENSG00000111011,ME3
ENSG00000156304,ME3
ENSG00000116560,ME3
ENSG00000073584,ME3
ENSG00000131876,ME3
ENSG00000112081,ME3
ENSG00000064607,ME3
ENSG00000188612,ME3
ENSG00000129566,ME3
ENSG00000136527,ME3
ENSG00000150991,ME3
ENSG00000146457,ME3
ENSG00000170027,ME3
ENSG00000075292,ME3
ENSG00000104313,ME30
ENSG00000140718,ME30
ENSG00000173230,ME30
ENSG00000145388,ME30
ENSG00000165819,ME30
ENSG00000196396,ME30
ENSG00000162244,ME30
ENSG00000197157,ME30
ENSG00000146457,ME30
ENSG00000163874,ME30
ENSG00000124942,ME31
ENSG00000105127,ME31
ENSG00000011243,ME31
ENSG00000137760,ME31
ENSG00000196843,ME31
ENSG00000148090,ME31
ENSG00000012048,ME31
ENSG00000137656,ME31
ENSG00000100802,ME31
ENSG00000146540,ME31
ENSG00000141582,ME31
ENSG00000141570,ME31
ENSG00000117877,ME31
ENSG00000065883,ME31
ENSG00000184220,ME31
ENSG00000102879,ME31
ENSG00000149532,ME31
ENSG00000099942,ME31
ENSG00000163510,ME31
ENSG00000162290,ME31
ENSG00000079785,ME31
ENSG00000214826,ME31
ENSG00000157349,ME31
ENSG00000111364,ME31
ENSG00000118197,ME31
ENSG00000131504,ME31
ENSG00000104129,ME31
ENSG00000125821,ME31
ENSG00000144048,ME31
ENSG00000132394,ME31
ENSG00000173812,ME31
ENSG00000175376,ME31
ENSG00000145191,ME31
ENSG00000143486,ME31
ENSG00000180574,ME31
ENSG00000184110,ME31
ENSG00000175390,ME31
ENSG00000141543,ME31
ENSG00000066044,ME31
ENSG00000126749,ME31
ENSG00000184083,ME31
ENSG00000234545,ME31
ENSG00000105058,ME31
ENSG00000112773,ME31
ENSG00000145982,ME31
ENSG00000138399,ME31
ENSG00000109536,ME31
ENSG00000140718,ME31
ENSG00000108592,ME31
ENSG00000076650,ME31
